Date,Cboe
2017-01-23,11.77000046
2017-01-24,11.06999969
2017-01-25,10.81000042
2017-01-26,10.63000011
2017-01-27,10.57999992
2017-01-30,11.88000011
2017-01-31,11.98999977
2017-02-01,11.81000042
2017-02-02,11.93000031
2017-02-03,10.97000027
2017-02-06,11.36999989
2017-02-07,11.28999996
2017-02-08,11.44999981
2017-02-09,10.88000011
2017-02-10,10.85000038
2017-02-13,11.06999969
2017-02-14,10.73999977
2017-02-15,11.97000027
2017-02-16,11.76000023
2017-02-17,11.48999977
2017-02-21,11.56999969
2017-02-22,11.73999977
2017-02-23,11.71000004
2017-02-24,11.47000027
2017-02-27,12.09000015
2017-02-28,12.92000008
2017-03-01,12.53999996
2017-03-02,11.81000042
2017-03-03,10.96000004
2017-03-06,11.23999977
2017-03-07,11.44999981
2017-03-08,11.85999966
2017-03-09,12.30000019
2017-03-10,11.65999985
2017-03-13,11.35000038
2017-03-14,12.30000019
2017-03-15,11.63000011
2017-03-16,11.21000004
2017-03-17,11.27999973
2017-03-20,11.34000015
2017-03-21,12.47000027
2017-03-22,12.81000042
2017-03-23,13.11999989
2017-03-24,12.96000004
2017-03-27,12.5
2017-03-28,11.52999973
2017-03-29,11.42000008
2017-03-30,11.53999996
2017-03-31,12.36999989
2017-04-03,12.38000011
2017-04-04,11.78999996
2017-04-05,12.89000034
2017-04-06,12.39000034
2017-04-07,12.86999989
2017-04-10,14.05000019
2017-04-11,15.06999969
2017-04-12,15.77000046
2017-04-13,15.96000004
2017-04-17,14.65999985
2017-04-18,14.42000008
2017-04-19,14.93000031
2017-04-20,14.14999962
2017-04-21,14.63000011
2017-04-24,10.84000015
2017-04-25,10.76000023
2017-04-26,10.85000038
2017-04-27,10.35999966
2017-04-28,10.81999969
2017-05-01,10.10999966
2017-05-02,10.59000015
2017-05-03,10.68000031
2017-05-04,10.46000004
2017-05-05,10.56999969
2017-05-08,9.770000458
2017-05-09,9.960000038
2017-05-10,10.21000004
2017-05-11,10.60000038
2017-05-12,10.39999962
2017-05-15,10.42000008
2017-05-16,10.64999962
2017-05-17,15.59000015
2017-05-18,14.65999985
2017-05-19,12.03999996
2017-05-22,10.93000031
2017-05-23,10.72000027
2017-05-24,10.02000046
2017-05-25,9.989999771
2017-05-26,9.81000042
2017-05-30,10.38000011
2017-05-31,10.40999985
2017-06-01,9.890000343
2017-06-02,9.75
2017-06-05,10.06999969
2017-06-06,10.44999981
2017-06-07,10.39000034
2017-06-08,10.15999985
2017-06-09,10.69999981
2017-06-12,11.46000004
2017-06-13,10.42000008
2017-06-14,10.64000034
2017-06-15,10.89999962
2017-06-16,10.38000011
2017-06-19,10.36999989
2017-06-20,10.85999966
2017-06-21,10.75
2017-06-22,10.47999954
2017-06-23,10.02000046
2017-06-26,9.899999619
2017-06-27,11.06000042
2017-06-28,10.02999973
2017-06-29,11.43999958
2017-06-30,11.18000031
2017-07-03,11.22000027
2017-07-05,11.06999969
2017-07-06,12.53999996
2017-07-07,11.18999958
2017-07-10,11.10999966
2017-07-11,10.89000034
2017-07-12,10.30000019
2017-07-13,9.899999619
2017-07-14,9.510000229
2017-07-17,9.819999695
2017-07-18,9.890000343
2017-07-19,9.789999962
2017-07-20,9.579999924
2017-07-21,9.359999657
2017-07-24,9.430000305
2017-07-25,9.430000305
2017-07-26,9.600000381
2017-07-27,10.10999966
2017-07-28,10.28999996
2017-07-31,10.26000023
2017-08-01,10.09000015
2017-08-02,10.27999973
2017-08-03,10.43999958
2017-08-04,10.02999973
2017-08-07,9.930000305
2017-08-08,10.96000004
2017-08-09,11.10999966
2017-08-10,16.04000092
2017-08-11,15.51000023
2017-08-14,12.32999992
2017-08-15,12.03999996
2017-08-16,11.73999977
2017-08-17,15.55000019
2017-08-18,14.26000023
2017-08-21,13.18999958
2017-08-22,11.35000038
2017-08-23,12.25
2017-08-24,12.22999954
2017-08-25,11.27999973
2017-08-28,11.31999969
2017-08-29,11.69999981
2017-08-30,11.22000027
2017-08-31,10.59000015
2017-09-01,10.13000011
2017-09-05,12.22999954
2017-09-06,11.63000011
2017-09-07,11.55000019
2017-09-08,12.11999989
2017-09-11,10.72999954
2017-09-12,10.57999992
2017-09-13,10.5
2017-09-14,10.43999958
2017-09-15,10.17000008
2017-09-18,10.14999962
2017-09-19,10.18000031
2017-09-20,9.779999733
2017-09-21,9.670000076
2017-09-22,9.590000153
2017-09-25,10.21000004
2017-09-26,10.17000008
2017-09-27,9.869999886
2017-09-28,9.550000191
2017-09-29,9.510000229
2017-10-02,9.449999809
2017-10-03,9.510000229
2017-10-04,9.630000114
2017-10-05,9.18999958
2017-10-06,9.649999619
2017-10-09,10.32999992
2017-10-10,10.07999992
2017-10-11,9.850000381
2017-10-12,9.909999847
2017-10-13,9.609999657
2017-10-16,9.909999847
2017-10-17,10.31000042
2017-10-18,10.06999969
2017-10-19,10.05000019
2017-10-20,9.970000267
2017-10-23,11.06999969
2017-10-24,11.15999985
2017-10-25,11.22999954
2017-10-26,11.30000019
2017-10-27,9.800000191
2017-10-30,10.5
2017-10-31,10.18000031
2017-11-01,10.19999981
2017-11-02,9.930000305
2017-11-03,9.140000343
2017-11-06,9.399999619
2017-11-07,9.890000343
2017-11-08,9.779999733
2017-11-09,10.5
2017-11-10,11.28999996
2017-11-13,11.5
2017-11-14,11.59000015
2017-11-15,13.13000011
