Date,Dollar
2017-02-17,100.9499969
2017-02-21,101.3700027
2017-02-22,101.3300018
2017-02-23,101.0500031
2017-02-24,101.0899963
2017-02-27,101.1299973
2017-02-28,101.1200027
2017-03-01,101.7799988
2017-03-02,102.1999969
2017-03-03,101.5400009
2017-03-06,101.6399994
2017-03-07,101.8099976
2017-03-08,102.0699997
2017-03-09,101.8499985
2017-03-10,101.25
2017-03-13,101.3799973
2017-03-14,101.6999969
2017-03-15,100.7399979
2017-03-16,100.2699966
2017-03-17,100.3000031
2017-03-20,100.4100037
2017-03-21,99.80999756
2017-03-22,99.68000031
2017-03-23,99.76000214
2017-03-24,99.62999725
2017-03-27,99.16999817
2017-03-28,99.70999908
2017-03-29,100.0
2017-03-30,100.4100037
2017-03-31,100.3499985
2017-04-03,100.5400009
2017-04-04,100.5400009
2017-04-05,100.5599976
2017-04-06,100.6699982
2017-04-07,101.1800003
2017-04-10,101.0199966
2017-04-11,100.7099991
2017-04-12,100.7799988
2017-04-13,100.5599976
2017-04-17,100.3000031
2017-04-18,99.5
2017-04-19,99.73999786
2017-04-20,99.77999878
2017-04-21,99.98000336
2017-04-24,99.08999634
2017-04-25,98.81999969
2017-04-26,98.95999908
2017-04-27,99.08000183
2017-04-28,99.05000305
2017-05-01,99.13999939
2017-05-02,98.98000336
2017-05-03,99.20999908
2017-05-04,98.76000214
2017-05-05,98.65000153
2017-05-08,99.15000153
2017-05-09,99.58999634
2017-05-10,99.66999817
2017-05-11,99.62000275
2017-05-12,99.25
2017-05-15,98.91000366
2017-05-16,98.11000061
2017-05-17,97.41999817
2017-05-18,97.87999725
2017-05-19,97.15000153
2017-05-22,96.98000336
2017-05-23,97.34999847
2017-05-24,97.23999786
2017-05-25,97.25
2017-05-26,97.40000153
2017-05-30,97.27999878
2017-05-31,96.91999817
2017-06-01,97.19999695
2017-06-02,96.72000122
2017-06-05,96.80000305
2017-06-06,96.63999939
2017-06-07,96.75
2017-06-08,96.91999817
2017-06-09,97.26999664
2017-06-12,97.13999939
2017-06-13,96.98000336
2017-06-14,96.94000244
2017-06-15,97.43000031
2017-06-16,97.16000366
2017-06-19,97.52999878
2017-06-20,97.75
2017-06-21,97.55999756
2017-06-22,97.54000092
2017-06-23,97.30000305
2017-06-26,97.43000031
2017-06-27,96.47000122
2017-06-28,96.05000305
2017-06-29,95.62999725
2017-06-30,95.66000366
2017-07-03,96.19999695
2017-07-05,96.29000092
2017-07-06,95.81999969
2017-07-07,96.01000214
2017-07-10,96.05000305
2017-07-11,95.73999786
2017-07-12,95.79000092
2017-07-13,95.73000336
2017-07-14,95.11000061
2017-07-17,95.12999725
2017-07-18,94.66000366
2017-07-19,94.80000305
2017-07-20,94.26999664
2017-07-21,93.94000244
2017-07-24,93.98000336
2017-07-25,94.05000305
2017-07-26,93.66999817
2017-07-27,93.86000061
2017-07-28,93.26000214
2017-07-31,92.86000061
2017-08-01,93.02999878
2017-08-02,92.83000183
2017-08-03,92.80999756
2017-08-04,93.54000092
2017-08-07,93.43000031
2017-08-08,93.63999939
2017-08-09,93.51999664
2017-08-10,93.40000153
2017-08-11,93.06999969
2017-08-14,93.45999908
2017-08-15,93.84999847
2017-08-16,93.48999786
2017-08-17,93.62000275
2017-08-18,93.43000031
2017-08-21,93.09999847
2017-08-22,93.55000305
2017-08-23,93.15000153
2017-08-24,93.27999878
2017-08-25,92.73999786
2017-08-28,92.20999908
2017-08-29,92.34999847
2017-08-30,92.87999725
2017-08-31,92.66999817
2017-09-01,92.80999756
2017-09-05,92.30999756
2017-09-06,92.29000092
2017-09-07,91.52999878
2017-09-08,91.33000183
2017-09-11,91.86000061
2017-09-12,91.91000366
2017-09-13,92.51999664
2017-09-14,92.12000275
2017-09-15,91.87000275
2017-09-18,92.05000305
2017-09-19,91.79000092
2017-09-20,92.51000214
2017-09-21,92.26000214
2017-09-22,92.16999817
2017-09-25,92.65000153
2017-09-26,92.97000122
2017-09-27,93.36000061
2017-09-28,93.08999634
2017-09-29,93.08000183
2017-10-02,93.55999756
2017-10-03,93.56999969
2017-10-04,93.45999908
2017-10-05,93.95999908
2017-10-06,93.80000305
2017-10-09,93.73999786
2017-10-10,93.29000092
2017-10-11,92.95999908
2017-10-12,93.12000275
2017-10-13,93.08999634
2017-10-16,93.27999878
2017-10-17,93.48999786
2017-10-18,93.36000061
2017-10-19,93.26999664
2017-10-20,93.69999695
2017-10-23,93.94000244
2017-10-24,93.95999908
2017-10-25,93.70999908
2017-10-26,94.61000061
2017-10-27,94.91999817
2017-10-30,94.48999786
2017-10-31,94.55000305
2017-11-01,94.81999969
2017-11-02,94.69000244
2017-11-03,94.94000244
2017-11-06,94.72000122
2017-11-07,94.91000366
2017-11-08,94.87000275
2017-11-09,94.44000244
2017-11-10,94.38999939
2017-11-13,94.48999786
2017-11-14,93.83000183
2017-11-15,93.80999756
2017-11-16,93.93000031
2017-11-17,93.66000366
2017-11-20,94.08000183
2017-11-21,93.94999695
2017-11-22,93.22000122
2017-11-24,92.76000214
2017-11-27,92.90000153
2017-11-28,93.26000214
2017-11-29,93.26000214
2017-11-30,93.01000214
2017-12-01,92.90000153
2017-12-04,93.19000244
2017-12-05,93.37999725
2017-12-06,93.61000061
2017-12-07,93.80000305
2017-12-08,93.90000153
2017-12-11,93.87000275
2017-12-12,94.09999847
2017-12-13,93.43000031
2017-12-14,93.48999786
2017-12-15,93.93000031
2017-12-18,93.69999695
2017-12-19,93.47000122
2017-12-20,93.34999847
2017-12-21,93.27999878
2017-12-22,93.34999847
2017-12-26,93.26000214
2017-12-27,93.02999878
2017-12-28,92.59999847
2017-12-29,92.12000275
2018-01-02,91.84999847
2018-01-03,92.16000366
2018-01-04,91.84999847
2018-01-05,91.94999695
2018-01-08,92.33000183
2018-01-09,92.52999878
2018-01-10,92.33000183
2018-01-11,91.84999847
2018-01-12,90.97000122
