Date,Gold
1/31/2017,1208.599976
2/1/2017,1205.599976
2/2/2017,1216.699951
2/3/2017,1218.5
2/6/2017,1230.0
2/7/2017,1234.199951
2/8/2017,1237.599976
2/9/2017,1235.099976
2/10/2017,1234.400024
2/13/2017,1224.400024
2/14/2017,1223.900024
2/15/2017,1231.699951
2/16/2017,1240.0
2/17/2017,1237.599976
2/21/2017,1237.5
2/22/2017,1232.0
2/23/2017,1250.199951
2/24/2017,1256.900024
2/27/2017,1257.400024
2/28/2017,1252.599976
3/1/2017,1248.900024
3/2/2017,1231.900024
3/3/2017,1225.5
3/6/2017,1224.5
3/7/2017,1215.099976
3/8/2017,1208.5
3/9/2017,1202.400024
3/10/2017,1200.699951
3/13/2017,1202.400024
3/14/2017,1201.900024
3/15/2017,1200.099976
3/16/2017,1226.5
3/17/2017,1229.800049
3/20/2017,1233.599976
3/21/2017,1246.099976
3/22/2017,1249.300049
3/23/2017,1246.900024
3/24/2017,1248.199951
3/27/2017,1255.400024
3/28/2017,1255.300049
3/29/2017,1253.400024
3/30/2017,1245.0
3/31/2017,1247.300049
4/3/2017,1250.800049
4/4/2017,1255.0
4/5/2017,1245.400024
4/6/2017,1250.300049
4/7/2017,1254.300049
4/10/2017,1251.099976
4/11/2017,1271.199951
4/12/2017,1275.300049
4/13/2017,1285.900024
4/17/2017,1289.400024
4/18/2017,1291.699951
4/19/2017,1281.400024
4/20/2017,1281.900024
4/21/2017,1287.400024
4/24/2017,1275.800049
4/25/2017,1265.599976
4/26/2017,1262.099976
4/27/2017,1263.699951
4/28/2017,1266.099976
5/1/2017,1253.300049
5/2/2017,1255.099976
5/3/2017,1246.400024
5/4/2017,1226.5
5/5/2017,1224.800049
5/8/2017,1225.300049
5/9/2017,1214.300049
5/10/2017,1217.300049
5/11/2017,1222.699951
5/12/2017,1226.199951
5/15/2017,1228.599976
5/16/2017,1235.0
5/17/2017,1257.5
5/18/2017,1251.699951
5/19/2017,1252.699951
5/22/2017,1260.699951
5/23/2017,1254.800049
5/24/2017,1252.400024
5/25/2017,1255.800049
5/26/2017,1267.599976
5/30/2017,1262.099976
5/31/2017,1272.0
6/1/2017,1267.0
6/2/2017,1276.800049
6/5/2017,1279.300049
6/6/2017,1294.400024
6/7/2017,1290.099976
6/8/2017,1276.300049
6/9/2017,1268.5
6/12/2017,1266.099976
6/13/2017,1265.800049
6/14/2017,1272.800049
6/15/2017,1252.199951
6/16/2017,1254.0
6/19/2017,1244.199951
6/20/2017,1241.0
6/21/2017,1243.400024
6/22/2017,1247.599976
6/23/2017,1256.199951
6/26/2017,1246.300049
6/27/2017,1246.400024
6/28/2017,1248.0
6/29/2017,1244.199951
6/30/2017,1240.699951
7/3/2017,1217.900024
7/5/2017,1220.400024
7/6/2017,1222.199951
7/7/2017,1208.599976
7/10/2017,1212.099976
7/11/2017,1213.599976
7/12/2017,1218.099976
7/13/2017,1216.300049
7/14/2017,1226.599976
7/17/2017,1232.800049
7/18/2017,1241.099976
7/19/2017,1241.199951
7/20/2017,1244.800049
7/21/2017,1254.300049
7/24/2017,1253.900024
7/25/2017,1251.699951
7/26/2017,1249.0
7/27/2017,1259.599976
7/28/2017,1268.400024
7/31/2017,1266.599976
8/1/2017,1272.599976
8/2/2017,1271.800049
8/3/2017,1267.800049
8/4/2017,1258.300049
8/7/2017,1258.199951
8/8/2017,1256.400024
8/9/2017,1273.0
8/10/2017,1283.699951
8/11/2017,1287.699951
8/14/2017,1284.199951
8/15/2017,1273.699951
8/16/2017,1276.900024
8/17/2017,1286.400024
8/18/2017,1285.699951
8/21/2017,1290.800049
8/22/2017,1285.099976
8/23/2017,1288.900024
8/24/2017,1286.5
8/25/2017,1292.5
8/28/2017,1309.699951
8/29/2017,1313.099976
8/30/2017,1308.099976
8/31/2017,1316.199951
9/1/2017,1324.5
9/5/2017,1339.199951
9/6/2017,1333.900024
9/7/2017,1345.099976
9/8/2017,1346.0
9/11/2017,1331.0
9/12/2017,1328.0
9/13/2017,1323.400024
9/14/2017,1324.699951
9/15/2017,1320.400024
9/18/2017,1306.300049
9/19/2017,1306.199951
9/20/2017,1312.0
9/21/2017,1290.599976
9/22/2017,1293.300049
9/25/2017,1306.800049
9/26/2017,1297.0
9/27/2017,1283.400024
9/28/2017,1285.5
9/29/2017,1281.5
10/2/2017,1272.699951
10/3/2017,1271.5
10/4/2017,1273.699951
10/5/2017,1269.900024
10/6/2017,1271.599976
10/9/2017,1281.800049
10/10/2017,1290.599976
10/11/2017,1285.800049
10/12/2017,1293.300049
10/13/2017,1301.5
10/16/2017,1299.900024
10/17/2017,1283.0
10/18/2017,1279.900024
10/19/2017,1286.900024
10/20/2017,1277.400024
10/23/2017,1277.699951
10/24/2017,1275.0
10/25/2017,1275.400024
10/26/2017,1266.300049
10/27/2017,1268.5
10/30/2017,1274.099976
10/31/2017,1267.0
11/1/2017,1274.099976
11/2/2017,1274.900024
11/3/2017,1266.5
11/6/2017,1279.400024
11/7/2017,1273.699951
11/8/2017,1281.599976
11/9/2017,1285.599976
11/10/2017,1272.400024
11/13/2017,1277.300049
11/14/2017,1281.5
11/15/2017,1276.5
11/16/2017,1277.400024
11/17/2017,1295.800049
11/20/2017,1274.599976
11/21/2017,1281.099976
11/22/2017,1291.599976
11/24/2017,1286.699951
11/27/2017,1293.800049
11/28/2017,1294.699951
11/29/2017,1282.099976
11/30/2017,1273.199951
12/1/2017,1278.800049
12/4/2017,1274.300049
12/5/2017,1261.599976
12/6/2017,1262.800049
12/7/2017,1249.800049
12/8/2017,1245.199951
12/11/2017,1243.699951
12/12/2017,1238.5
12/13/2017,1245.400024
12/14/2017,1253.800049
12/15/2017,1254.300049
12/18/2017,1262.199951
12/19/2017,1260.699951
12/20/2017,1266.099976
12/21/2017,1267.300049
12/22/2017,1275.400024
12/26/2017,1284.099976
12/27/2017,1287.0
12/28/2017,1294.099976
12/29/2017,1306.300049
1/2/2018,1313.699951
1/3/2018,1316.199951
1/4/2018,1319.400024
1/5/2018,1320.300049
1/8/2018,1318.599976
1/9/2018,1311.699951
1/10/2018,1317.400024
1/11/2018,1320.599976
1/12/2018,1333.400024
1/16/2018,1335.400024
1/17/2018,1338.0
1/18/2018,1326.0
1/19/2018,1331.900024
1/22/2018,1330.900024
1/23/2018,1335.699951
1/24/2018,1355.900024
1/25/2018,1362.400024
1/26/2018,1351.599976
1/30/2018,1335.400024
1/31/2018,1339.0
2/1/2018,1344.300049
2/2/2018,1333.699951
2/5/2018,1333.0
2/6/2018,1326.099976
2/7/2018,1311.599976
2/8/2018,1316.900024
2/9/2018,1313.099976
2/12/2018,1324.199951
2/13/2018,1328.099976
2/14/2018,1355.5
2/15/2018,1352.099976
2/16/2018,1353.199951
2/20/2018,1328.800049
2/21/2018,1330.0
2/22/2018,1330.599976
2/23/2018,1328.199951
2/26/2018,1330.699951
2/27/2018,1315.5
2/28/2018,1315.5
3/1/2018,1302.900024
3/2/2018,1321.099976
3/5/2018,1318.099976
3/6/2018,1333.599976
3/7/2018,1326.0
3/8/2018,1319.900024
3/9/2018,1322.400024
3/12/2018,1319.400024
3/13/2018,1325.900024
3/14/2018,1324.400024
3/15/2018,1316.800049
3/16/2018,1311.300049
3/19/2018,1316.800049
3/20/2018,1311.099976
3/21/2018,1320.699951
3/22/2018,1326.599976
3/23/2018,1349.300049
3/26/2018,1354.400024
3/27/2018,1341.300049
3/28/2018,1324.199951
