Date,Cpi
2/27/2018,249.439
2/28/2018,249.439
3/1/2018,249.581
3/2/2018,249.581
3/5/2018,249.581
3/6/2018,249.581
3/7/2018,249.581
3/8/2018,249.581
3/9/2018,249.581
3/12/2018,249.581
3/13/2018,249.581
3/14/2018,249.581
3/15/2018,249.581
3/16/2018,249.581
3/19/2018,249.581
3/20/2018,249.581
3/21/2018,249.581
3/22/2018,249.581
3/23/2018,249.581
3/26/2018,249.581
3/27/2018,249.581
3/28/2018,249.581
3/29/2018,249.581
4/2/2018,250.146
4/3/2018,250.146
4/4/2018,250.146
4/5/2018,250.146
4/6/2018,250.146
4/9/2018,250.146
4/10/2018,250.146
4/11/2018,250.146
4/12/2018,250.146
4/13/2018,250.146
4/16/2018,250.146
4/17/2018,250.146
4/18/2018,250.146
4/19/2018,250.146
4/20/2018,250.146
4/23/2018,250.146
4/24/2018,250.146
4/25/2018,250.146
4/26/2018,250.146
4/27/2018,250.146
4/30/2018,250.146
5/1/2018,250.779
5/2/2018,250.779
5/3/2018,250.779
5/4/2018,250.779
5/7/2018,250.779
5/8/2018,250.779
5/9/2018,250.779
5/10/2018,250.779
5/11/2018,250.779
5/14/2018,250.779
5/15/2018,250.779
5/16/2018,250.779
5/17/2018,250.779
5/18/2018,250.779
5/21/2018,250.779
5/22/2018,250.779
5/23/2018,250.779
5/24/2018,250.779
5/25/2018,250.779
5/29/2018,250.779
5/30/2018,250.779
5/31/2018,250.779
6/1/2018,251.118
6/4/2018,251.118
6/5/2018,251.118
6/6/2018,251.118
6/7/2018,251.118
6/8/2018,251.118
6/11/2018,251.118
6/12/2018,251.118
6/13/2018,251.118
6/14/2018,251.118
6/15/2018,251.118
6/18/2018,251.118
6/19/2018,251.118
6/20/2018,251.118
6/21/2018,251.118
6/22/2018,251.118
6/25/2018,251.118
6/26/2018,251.118
6/27/2018,251.118
6/28/2018,251.118
6/29/2018,251.118
7/2/2018,251.323
7/3/2018,251.323
7/5/2018,251.323
7/6/2018,251.323
7/9/2018,251.323
7/10/2018,251.323
7/11/2018,251.323
7/12/2018,251.323
7/13/2018,251.323
7/16/2018,251.323
7/17/2018,251.323
7/18/2018,251.323
7/19/2018,251.323
7/20/2018,251.323
7/23/2018,251.323
7/24/2018,251.323
7/25/2018,251.323
7/26/2018,251.323
7/27/2018,251.323
7/30/2018,251.323
7/31/2018,251.323
8/1/2018,251.749
8/2/2018,251.749
8/3/2018,251.749
8/6/2018,251.749
8/7/2018,251.749
8/8/2018,251.749
8/9/2018,251.749
8/10/2018,251.749
8/13/2018,251.749
8/14/2018,251.749
8/15/2018,251.749
8/16/2018,251.749
8/17/2018,251.749
8/20/2018,251.749
8/21/2018,251.749
8/22/2018,251.749
8/23/2018,251.749
8/24/2018,251.749
8/27/2018,251.749
8/28/2018,251.749
8/29/2018,251.749
8/30/2018,251.749
8/31/2018,251.749
9/4/2018,252.239
9/5/2018,252.239
9/6/2018,252.239
9/7/2018,252.239
9/10/2018,252.239
9/11/2018,252.239
9/12/2018,252.239
9/13/2018,252.239
9/14/2018,252.239
9/17/2018,252.239
9/18/2018,252.239
9/19/2018,252.239
9/20/2018,252.239
9/21/2018,252.239
9/24/2018,252.239
9/25/2018,252.239
9/26/2018,252.239
9/27/2018,252.239
9/28/2018,252.239
10/1/2018,252.862
10/2/2018,252.862
10/3/2018,252.862
10/4/2018,252.862
10/5/2018,252.862
10/8/2018,252.862
10/9/2018,252.862
10/10/2018,252.862
10/11/2018,252.862
10/12/2018,252.862
10/15/2018,252.862
10/16/2018,252.862
10/17/2018,252.862
10/18/2018,252.862
10/19/2018,252.862
10/22/2018,252.862
10/23/2018,252.862
10/24/2018,252.862
10/25/2018,252.862
10/26/2018,252.862
10/29/2018,252.862
10/30/2018,252.862
10/31/2018,252.862
11/1/2018,252.657
11/2/2018,252.657
11/5/2018,252.657
11/6/2018,252.657
11/7/2018,252.657
11/8/2018,252.657
11/9/2018,252.657
11/12/2018,252.657
11/13/2018,252.657
11/14/2018,252.657
